Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 20 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 9 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
320	242014	1275200	0	MoveTarget	0.00	1
321	242027	1275213	0	ShowTarget	0.00	1
322	242298	1275473	0	head_turned	0.00	0
323	242791	1275946	0	head_stop	0.00	0
324	243770	1276886	0	ShowTarget	0.00	1
325	245680	1278720	0	MoveTarget	0.00	1
326	245694	1278733	0	ShowTarget	0.00	1
327	245979	1279006	0	head_turned	0.00	0
328	246569	1279573	0	head_stop	0.00	0
329	247264	1280240	0	ShowTarget	0.00	1
330	249826	1282699	0	MoveTarget	0.00	1
331	249847	1282720	0	ShowTarget	0.00	1
332	250076	1282939	0	head_turned	0.00	0
333	250618	1283459	0	head_stop	0.00	0
334	251549	1284353	0	ShowTarget	0.00	1
335	254077	1286779	0	MoveTarget	0.00	1
336	254090	1286793	0	ShowTarget	0.00	1
337	254354	1287046	0	head_turned	0.00	0
338	254625	1287306	0	head_stop	0.00	0
339	255875	1288506	0	ShowTarget	0.00	1
340	258896	1291406	0	MoveTarget	0.00	1
341	258917	1291426	0	ShowTarget	0.00	1
342	259132	1291633	0	head_turned	0.00	0
343	259591	1292073	0	head_stop	0.00	0
344	260618	1293059	0	ShowTarget	0.00	1
345	262674	1295033	0	MoveTarget	0.00	1
346	262688	1295046	0	ShowTarget	0.00	1
347	263014	1295359	0	head_turned	0.00	0
348	263299	1295633	0	head_stop	0.00	0
349	264446	1296733	0	ShowTarget	0.00	1
350	267598	1299759	0	MoveTarget	0.00	1
351	267612	1299772	0	ShowTarget	0.00	1
352	267813	1299966	0	head_turned	0.00	0
353	268265	1300399	0	head_stop	0.00	0
354	269209	1301306	0	ShowTarget	0.00	1
